timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591120600940,601,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1370,155,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/teacher,599,0,267
1591120601563,1489,Get list of questions,200,,setUp Thread Group 1-1,text,true,,8316,799,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions,1487,0,0
1591120603053,550,Create question 1,200,,setUp Thread Group 1-1,text,true,,847,1311,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,550,0,95
1591120603605,458,Create question 2,200,,setUp Thread Group 1-1,text,true,,848,1311,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,458,0,0
1591120604064,485,Create question 3,200,,setUp Thread Group 1-1,text,true,,848,1311,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,485,0,0
1591120604551,505,Create question 4,200,,setUp Thread Group 1-1,text,true,,847,1311,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,505,0,0
1591120605058,600,Create question 5,200,,setUp Thread Group 1-1,text,true,,848,1311,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,600,0,0
1591120605660,430,Get list of topics,200,,setUp Thread Group 1-1,text,true,,824,796,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/topics,430,0,69
1591120606092,340,Create topic,200,,setUp Thread Group 1-1,text,true,,635,855,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/topics/,339,0,0
1591120606433,338,Add topic to question 1,200,,setUp Thread Group 1-1,,true,,454,860,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/questions/3158/topics,338,0,0
1591120606771,327,Add topic to question 2,200,,setUp Thread Group 1-1,,true,,454,860,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/questions/3159/topics,327,0,0
