timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591281778868,711,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1365,155,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/teacher,708,0,634
1591281779613,107,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,107,0,0
1591281779722,76,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,76,0,0
1591281779800,95,Create question,200,,setUp Thread Group 1-1,text,true,,836,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,95,0,0
1591281779896,95,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,94,0,0
1591281779992,91,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,91,0,0
1591281780086,86,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,85,0,0
1591281780173,90,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,90,0,0
1591281780264,112,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,112,0,0
1591281780377,101,Create question,200,,setUp Thread Group 1-1,text,true,,833,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,101,0,0
1591281780480,106,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,105,0,0
1591281780587,92,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,92,0,0
1591281780680,110,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,109,0,0
1591281780791,93,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,93,0,0
1591281780885,208,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,207,0,84
1591281781094,115,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,114,0,0
1591281781210,153,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,153,0,0
1591281781364,109,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,108,0,0
1591281781474,131,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,130,0,0
1591281781606,115,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,114,0,0
1591281781722,118,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,118,0,0
1591281781841,292,Get list of questions,200,,setUp Thread Group 1-1,text,true,,3575,799,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions,292,0,0
1591281782151,356,Create quiz,200,,setUp Thread Group 1-1,text,true,,1929,1586,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/executions/11/quizzes,356,0,0
1591281782534,381,Login as student,200,,Thread Group 1-2,text,true,,1458,155,129,129,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/student,381,0,144
1591281782530,627,Login as student,200,,Thread Group 1-1,text,true,,1456,155,210,210,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/student,627,0,240
