timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591179050615,62,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1283,133,1,1,http://localhost:8080/auth/demo/teacher,60,0,17
1591179050700,72,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,72,0,0
1591179050772,70,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,70,0,0
1591179050843,74,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,74,0,0
1591179050917,72,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,72,0,0
1591179050990,69,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,69,0,0
1591179051059,70,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,70,0,0
1591179051130,72,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,72,0,0
1591179051202,74,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,74,0,0
1591179051276,72,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,72,0,0
1591179051348,73,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,73,0,0
1591179051421,74,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,74,0,0
1591179051496,73,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,73,0,0
1591179051570,89,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,89,0,0
1591179051659,80,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,80,0,0
1591179051740,76,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,76,0,0
1591179051817,76,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,76,0,0
1591179051894,243,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,243,0,0
1591179052138,141,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,141,0,0
1591179052280,77,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,77,0,0
1591179052358,76,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,76,0,0
1591179052434,131,Get list of questions,200,,setUp Thread Group 1-1,text,true,,135154,777,1,1,http://localhost:8080/courses/2/questions,128,0,0
1591179052626,74,Create quiz,200,,setUp Thread Group 1-1,text,true,,12447,1582,1,1,http://localhost:8080/executions/11/quizzes,74,0,0
1591179052724,78,Login as student,200,,Thread Group 1-2,text,true,,1283,133,27,27,http://localhost:8080/auth/demo/student,78,0,1
1591179052731,76,Login as student,200,,Thread Group 1-4,text,true,,1283,133,29,29,http://localhost:8080/auth/demo/student,76,0,1
1591179052728,93,Login as student,200,,Thread Group 1-3,text,true,,1283,133,32,32,http://localhost:8080/auth/demo/student,93,0,0
1591179052734,87,Login as student,200,,Thread Group 1-5,text,true,,1283,133,32,32,http://localhost:8080/auth/demo/student,87,0,1
1591179052722,115,Login as student,200,,Thread Group 1-1,text,true,,1283,133,36,36,http://localhost:8080/auth/demo/student,115,0,1
1591179052748,141,Login as student,200,,Thread Group 1-10,text,true,,1283,133,53,53,http://localhost:8080/auth/demo/student,140,0,2
1591179052742,150,Login as student,200,,Thread Group 1-7,text,true,,1283,133,53,53,http://localhost:8080/auth/demo/student,150,0,0
1591179052747,155,Login as student,200,,Thread Group 1-6,text,true,,1283,133,56,56,http://localhost:8080/auth/demo/student,154,0,1
1591179052746,163,Login as student,200,,Thread Group 1-9,text,true,,1283,133,57,57,http://localhost:8080/auth/demo/student,163,0,1
1591179052745,164,Login as student,200,,Thread Group 1-8,text,true,,1283,133,57,57,http://localhost:8080/auth/demo/student,164,0,1
1591179052757,215,Login as student,200,,Thread Group 1-13,text,true,,1283,133,66,66,http://localhost:8080/auth/demo/student,214,0,1
