timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591119656616,243,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1281,133,1,1,http://localhost:8080/auth/demo/teacher,241,0,14
1591119656896,155,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,155,0,0
1591119657052,31,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,31,0,0
1591119657084,37,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,37,0,0
1591119657122,32,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,32,0,0
1591119657155,40,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,40,0,0
1591119657195,26,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,26,0,0
1591119657222,28,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,28,0,0
1591119657250,27,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,26,0,0
1591119657277,24,Create question,200,,setUp Thread Group 1-1,text,true,,1014,1205,1,1,http://localhost:8080/courses/2/questions/,24,0,0
1591119657302,24,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,24,0,0
1591119657326,23,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,23,0,0
1591119657350,25,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,25,0,0
1591119657375,28,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,28,0,0
1591119657404,24,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,24,0,0
1591119657429,25,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,25,0,0
1591119657454,31,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,30,0,0
1591119657485,25,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,25,0,0
1591119657510,26,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,26,0,0
1591119657536,28,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,27,0,0
1591119657564,27,Create question,200,,setUp Thread Group 1-1,text,true,,1016,1207,1,1,http://localhost:8080/courses/2/questions/,26,0,0
1591119657591,45,Get list of questions,200,,setUp Thread Group 1-1,text,true,,20802,777,1,1,http://localhost:8080/courses/2/questions,44,0,0
1591119657654,84,Create quiz,200,,setUp Thread Group 1-1,text,true,,12427,1582,1,1,http://localhost:8080/executions/11/quizzes,83,0,0
1591119657766,78,Login as student,200,,Thread Group 1-1,text,true,,1281,133,24,24,http://localhost:8080/auth/demo/student,77,0,1
1591119657773,86,Login as student,200,,Thread Group 1-3,text,true,,1281,133,25,25,http://localhost:8080/auth/demo/student,86,0,0
1591119657775,107,Login as student,200,,Thread Group 1-4,text,true,,1281,133,25,25,http://localhost:8080/auth/demo/student,107,0,0
1591119657789,98,Login as student,200,,Thread Group 1-10,text,true,,1281,133,26,26,http://localhost:8080/auth/demo/student,92,0,1
1591119657779,109,Login as student,200,,Thread Group 1-6,text,true,,1281,133,26,26,http://localhost:8080/auth/demo/student,108,0,1
1591119657814,113,Login as student,200,,Thread Group 1-16,text,true,,1281,133,30,30,http://localhost:8080/auth/demo/student,113,0,1
