GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.statistics,StatsController,20,3,2,0,4,1,2,1,1,1
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.statistics,StatsService,215,3,6,0,44,1,13,1,10,1
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.statistics,StatsDto,133,0,0,0,42,0,22,0,22,0
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.answer,AnswerService,431,634,23,53,68,121,41,44,26,21
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.answer,ExternalQuizSolvedEvent,31,0,0,0,10,0,5,0,5,0
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.answer,AnswerController,92,7,0,0,15,2,8,2,8,2
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.impexp,ImportExportController,48,7,0,0,13,2,2,2,2,2
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.impexp,ImpExpService,314,3,4,0,64,1,10,1,8,1
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.questionsubmission.dto,UserQuestionSubmissionInfoDto,38,142,5,7,8,35,8,15,4,13
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.questionsubmission.dto,ReviewDto,0,103,0,2,0,28,0,19,0,18
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.questionsubmission.dto,QuestionSubmissionDto,23,93,1,1,4,25,5,15,4,15
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.user.dto,ExternalUserDto,77,101,0,0,25,34,9,17,9,17
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.demoutils,DemoUtils,22,3,0,0,8,1,1,1,1,1
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.questionsubmission,QuestionSubmissionController,85,3,2,0,19,1,12,1,11,1
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.questionsubmission,QuestionSubmissionService,82,331,3,21,12,72,10,29,8,19
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.questionsubmission,QuestionSubmissionApplicationalService,84,9,4,0,24,3,5,2,3,2
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.discussion.api,DiscussionController,56,3,0,0,10,1,8,1,8,1
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.config,EventBusConfig,0,7,0,0,0,2,0,2,0,2
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.config,TutorModuleConfiguration,0,3,0,0,0,1,0,1,0,1
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.config,EventSubscribeBeanPostProcessor,6,51,1,5,2,8,1,5,0,3
tutor,pt.ulisboa.tecnico.socialsoftware.tutor.question,QuestionService,307,169,13,3,56,31,25,14,18,13
